,lon,lat,hurt,radius,color,group,type
0,121.528751,25.046837,2,3,#DDD23B,其他路段,普通重型-機車;計程車-小客車;其他人-人
1,121.55479,25.000895,2,3,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
2,121.52833799999999,25.077985,1,1,#DDD23B,其他路段,普通重型-機車
3,121.549637,25.051919,2,3,#DDD23B,南京東西路,計程車-小客車;普通重型-機車;其他人-人
4,121.496058,25.136444,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
5,121.544127,25.033562,2,3,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
6,121.53313100000001,25.045912,1,1,#DDD23B,松江路,其他車-其他車;普通重型-機車
7,121.57085900000001,25.046263,1,1,#DDD23B,基隆路1、3段,其他車-其他車;普通重型-機車
8,121.57996000000001,25.050304,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
9,121.549159,25.033023999999997,1,1,#DDD23B,其他路段,普通重型-機車;計程車-小客車
10,121.52412199999999,25.048074,1,1,#DDD23B,其他路段,普通重型-機車;計程車-小客車
11,121.558283,25.018262,2,3,#DDD23B,和平東路1、2、3段,普通重型-機車;自用-小客車;普通重型-機車
12,121.52267900000001,25.061574,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
13,121.50343500000001,25.02962,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
14,121.513949,25.049488,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
15,121.567559,25.144373,2,3,#DDD23B,其他路段,普通重型-機車;行人-人
16,121.537645,25.100663,1,1,#DDD23B,其他路段,普通重型-機車;遊覽車-大客車
17,121.54593,25.039873,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
18,121.502004,25.141172,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
19,121.549159,25.033023999999997,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
20,121.520816,25.02961,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
21,121.51558100000001,25.029792999999998,1,1,#DDD23B,其他路段,拖車(架)-其他車;普通重型-機車
22,121.515469,25.115320999999998,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
23,121.55773300000001,25.085694,2,3,#DDD23B,內湖路1段,遊覽車-大客車;自用-小客車;普通重型-機車
24,121.52388700000002,25.058208999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
