lon,lat,hurt,color,road,scale,level1,level2
121.549637,25.051919,2,受傷事故,南京東西路,3,惡化,中度惡化
121.533131,25.045912,1,受傷事故,松江路,2,惡化,重度惡化
121.570859,25.046263,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.558283,25.018262,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.557733,25.085694,2,受傷事故,內湖路1段,3,惡化,中度惡化
121.564279,25.063275,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.525135,25.102125,1,受傷事故,福國路,2,惡化,重度惡化
121.509197,25.047844,1,受傷事故,中華路1段,2,惡化,重度惡化
121.522831,25.052609,1,受傷事故,南京東西路,2,惡化,中度惡化
121.578356,25.078652,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.525135,25.102125,2,受傷事故,福國路,2,惡化,重度惡化
121.564279,25.063275,1,受傷事故,民族東路,2,惡化,重度惡化
121.577524,25.050227,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.573967,25.080338,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.539773,25.097169,1,受傷事故,福林路,2,惡化,中度惡化
121.564753,25.049177,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.510583,25.04736,1,受傷事故,中華路1段,2,惡化,重度惡化
121.577802,25.079761,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.569428,25.048983,1,受傷事故,基隆路1段,3,惡化,輕微惡化
121.535319,25.025713,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.572306,25.050215,1,受傷事故,塔悠路,2,惡化,重度惡化
121.524122,25.048074,1,受傷事故,民族東路,2,惡化,重度惡化
121.543715,25.047768,2,受傷事故,復興北路,3,惡化,中度惡化
121.525538,25.086369,2,受傷事故,福國路,3,惡化,重度惡化
121.564862,25.014136,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.55067,25.047545,2,受傷事故,八德路3段,3,改善,有效改善
121.580915,25.05744,1,受傷事故,南京東西路,2,惡化,中度惡化
121.554748,25.055997,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.543715,25.047768,1,受傷事故,民族東路,2,惡化,重度惡化
121.544479,25.065684,1,受傷事故,復興北路,2,惡化,中度惡化
121.549826,25.04804,1,受傷事故,八德路3段,3,改善,有效改善
121.522831,25.052609,1,受傷事故,民族東路,2,惡化,重度惡化
121.549637,25.051919,2,受傷事故,南京東西路,3,惡化,中度惡化
121.539153,25.052914,1,受傷事故,南京東西路,2,惡化,中度惡化
121.532714,25.046292,1,受傷事故,松江路,2,惡化,重度惡化
121.584412,25.049059,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.555272,25.051805,2,受傷事故,南京東西路,2,惡化,中度惡化
121.527936,25.058174,1,受傷事故,松江路,3,惡化,重度惡化
121.556658,25.051763,1,受傷事故,南京東西路,2,惡化,中度惡化
121.557982,25.047915,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.553475,25.053663,1,受傷事故,南京東西路,2,惡化,中度惡化
121.529754,25.068593,2,受傷事故,民族東路,2,惡化,重度惡化
121.523596,25.102411,1,受傷事故,福國路,2,惡化,重度惡化
121.535515,25.042214,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.549637,25.051919,1,受傷事故,南京東西路,3,惡化,中度惡化
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.521244,25.052326,1,受傷事故,南京東西路,2,惡化,中度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.533131,25.045912,1,受傷事故,松江路,2,惡化,重度惡化
121.544696,25.097626,1,受傷事故,至善路2段,2,改善,有效改善
121.54222,25.067668,2,受傷事故,民族東路,2,惡化,重度惡化
121.520156,25.051812,1,受傷事故,南京東西路,2,惡化,中度惡化
