,road,happen
0,中山橋,2.6666666666666665
12,塔悠路,2.380952380952381
16,愛國東路,2.36
9,南京西路,2.3375
17,承德橋,2.3076923076923075
24,羅斯福路,2.3064133016627077
1,中正路,2.2828947368421053
8,南京東路,2.273927392739274
2,中華路,2.263157894736842
20,民族東路,2.2527472527472527
27,西園路,2.251655629139073
19,杭州南路,2.25
22,民權西路,2.2429906542056073
25,至善路,2.240740740740741
7,公園路,2.207547169811321
18,承德路,2.2009345794392523
21,民權東路,2.190690690690691
15,忠孝東路,2.185185185185185
13,寶慶路,2.176470588235294
6,八德路,2.173758865248227
10,和平東路,2.1726384364820848
5,內湖路,2.1580882352941178
3,健康路,2.1578947368421053
4,光復南路,2.1515151515151514
28,逸仙路,2.1470588235294117
14,建國北路,2.1463414634146343
11,基隆路,2.130671506352087
26,興隆路,2.112759643916914
23,立賢路,1.8333333333333333
