road,improve,scale,dead,change
中坡北路,改善或不變,-0.17204301075269,0.01702508960573,-7.4
中華路1段,惡化,-0.00466101694915011,-0.0449152542372902,10.17
健康路,改善或不變,-0.07323232323232,-0.0353535353535399,0
光復南北路,惡化,-0.0781621728786699,-0.0990781126090399,5.50868852459016
內湖路1段,惡化,-0.15028984470049,0.01374078580118,7.31
八德路3、4段,惡化,-0.0190704971075597,-0.0193646435924999,4.83216129032258
公園路,惡化,0.15094339622641,0.0754716981132102,11.17
南京東西路,惡化,0.14217361585783,0.0994531784005399,19.8265632183908
和平東路1、2、3段,惡化,-0.0277088413647202,-0.0628196551500899,14.3229253926702
基隆路1、3段,惡化,-0.0663474692202501,-0.13012995896033,2.61612048192771
塔悠路,惡化,0.27845804988662,0.22131519274376,46.31
寶慶路,惡化,-0.0843989769820999,-0.12531969309463,6.08
建國北路3段,改善或不變,0.22552447552447,0.0751748251748199,-10.19
忠孝東路6段,改善或不變,-0.0876623376623402,-0.19967532467532,0
愛國東路,惡化,0.02005231037489,-0.21708805579773,2.2
新生南路3段,惡化,-0.5650406504065,-0.45731707317073,7.11053307008884
杭州南路2段,改善或不變,0.16842105263158,0.63157894736842,0.43
松江路,惡化,-0.07262731481481,-0.00839120370369995,28.5995425434584
民族東路,惡化,0.0326086956521698,0.09472049689441,22.8
福國路,惡化,-0.20782654680063,-0.0280274986779498,20.0387543252595
福林路,惡化,-0.01253799392097,-0.0345744680851101,-4.77
立賢路,惡化,-0.35526315789474,0.0855263157894699,6.63
羅斯福路1、2段,惡化,0.0714285714285801,-0.0999999999999999,1.93656551724138
至善路2段,改善或不變,0.08809523809524,-0.10714285714286,-4.91944785276074
