country,pop,comment,download,type,continent,gdpPercap,area
閃電戰機2,4.2,36547,1000000,街機,Taiwan,7,5
獸魂戰起來 Legiondary,3.5,218,5000,角色扮演,Taiwan,4,1
推來推去,4.5,8875,500000,益智,Taiwan,8,2
荒漠樂園 DESERTOPIA,3.8,1953,100000,模擬,Taiwan,7,4
Cytus II,4.5,81186,1000000,音樂,Taiwan,9,8
日語50音-初心之冒險,4.6,1339,100000,教育,Taiwan,7,7
天狗：偃月之日,4.3,205,5000,益智,Taiwan,4,2
2020 大總統:決戰倒數,4.5,9109,100000,教育,Taiwan,7,7
末日之子-重生,4.4,8433,10000,角色扮演,Taiwan,5,1
人生畫廊,4.3,2055,100000,解謎,Taiwan,7,6
機浪 Sky Surfing,4.3,1372,100000,休閒,Taiwan,7,3
Lanota-動感節奏音樂遊戲,4.6,28382,1000000,音樂,Taiwan,9,8
太空竹筍 Space Cone,4.1,181,50000,休閒,Taiwan,6,3
螢幕判官,4.1,32,100,角色扮演,Taiwan,1,1
符文重生,4.5,10883,100000,角色扮演,Taiwan,7,1
Pocket Rally 口袋拉力賽,4.4,7206,100000,賽車,Taiwan,7,11
永恆的賽妮亞-雨後的紫陽花,4.7,57613,500000,角色扮演,Taiwan,8,1
返校,4.3,9345,100000,冒險,Taiwan,7,9
落櫻散華抄Remake,4.3,5286,100000,角色扮演,Taiwan,7,1
幻想神域-啟源女神,4.2,13087,500000,角色扮演,Taiwan,8,1
風之國度,4.2,36145,500000,角色扮演,Taiwan,8,1
Crown Four Kingdoms,4,7445,100000,角色扮演,Taiwan,7,1
幻想神域-英文版,3.8,25679,500000,角色扮演,Taiwan,8,1
Aura Kingdom 2,4.2,27602,500000,角色扮演,Taiwan,8,1
幻想神域R-2018,4.3,9845,100000,角色扮演,Taiwan,7,1
甜點王子2-心動奇蹟,4.5,3985,50000,模擬,Taiwan,6,4
生活口語的日文教室-兩個傻瓜,5,44,5000,教育,Taiwan,4,7
