,lon,lat,value,radius
31,121.614618,25.066187,3,8
55,121.48606399999998,25.122059,2,5
67,121.53593000000001,25.057989000000003,2,5
77,121.53938400000001,25.171668,2,5
81,121.537269,25.062684,2,5
86,121.531973,25.026367999999998,3,8
99,121.513503,25.063131,2,5
130,121.50755,25.048491000000002,2,5
132,121.567355,24.981191,2,5
138,121.527823,25.060278,2,5
202,121.539308,25.004143,3,8
218,121.491923,25.026699,2,5
243,121.542818,24.996931,2,5
248,121.547526,25.019697,2,5
251,121.52556100000001,25.060305,2,5
255,121.599021,25.053825,2,5
263,121.581002,25.067624,2,5
264,121.522278,25.023723,3,8
271,121.611597,25.066089,2,5
282,121.527744,25.047036,2,5
317,121.49094199999999,25.02433,2,5
320,121.574243,25.032054000000002,2,5
368,121.607685,25.058338,3,8
401,121.517478,25.112282,3,8
402,121.51863700000001,25.0288,2,5
475,121.51110600000001,25.064622,3,8
478,121.49833899999999,25.142256,2,5
517,121.497751,25.094676,3,8
527,121.50623600000002,25.03507,2,5
528,121.50516200000001,25.138371,2,5
535,121.557171,24.998759,3,8
546,121.49538899999999,25.012614000000003,2,5
551,121.523602,25.062178,2,5
561,121.516326,25.032367999999998,2,5
588,121.51743799999998,25.023426,2,5
659,121.560526,25.017616,2,5
700,121.531062,25.013953,2,5
708,121.574151,25.043810999999998,2,5
717,121.54898700000001,25.016779999999997,2,5
719,121.527883,25.062742,2,5
749,121.566781,25.002064,2,5
755,121.480631,25.136305,2,5
771,121.510827,25.114898,3,8
784,121.58408899999999,25.038428,2,5
785,121.52283999999999,25.049554999999998,2,5
792,121.49423999999999,25.035322,2,5
801,121.581397,25.04271,2,5
808,121.54858200000001,25.038714000000002,2,5
816,121.51862,25.048513,4,10
817,121.56503300000001,25.026432999999997,2,5
822,121.59473600000001,25.054444,2,5
850,121.58549,25.046712,2,5
852,121.50821100000002,25.050614000000003,3,8
867,121.60760400000001,25.053956,2,5
868,121.574124,25.040764000000003,2,5
887,121.565721,25.035876000000002,2,5
896,121.528421,25.062429,2,5
903,121.53761499999999,25.032311,2,5
956,121.55238100000001,25.014548,2,5
999,121.568353,25.082310999999997,2,5
1002,121.54373500000001,25.026373,2,5
1007,121.51653999999999,25.118564000000003,2,5
1040,121.51588400000001,25.071965,2,5
1047,121.58734199999999,25.004181,1,2
1060,121.534922,25.009498999999998,3,8
1063,121.54895400000001,25.024760999999998,2,5
1101,121.54520600000001,25.048134,2,5
1104,121.555219,25.058272,2,5
1105,121.58160500000001,25.074738,2,5
1110,121.514854,25.068009,2,5
1113,121.53815,24.997537,2,5
1130,121.547956,25.038114999999998,3,8
1142,121.614655,25.066738,3,8
1154,121.61423799999999,25.059853,2,5
1158,121.491914,25.033237,2,5
1162,121.51783999999999,25.023391,2,5
1194,121.540733,25.027654000000002,2,5
1224,121.49961100000002,25.120967999999998,1,2
1238,121.51091399999999,25.067839000000003,3,8
1250,121.50228100000001,25.041698999999998,2,5
1256,121.52539099999998,25.056532,2,5
1276,121.527533,25.018758,2,5
1307,121.525209,25.11881,3,8
1314,121.541974,25.001929,2,5
1325,121.51053200000001,25.050289000000003,2,5
1334,121.5654,25.081916,3,8
1368,121.56834199999999,25.03187,2,5
1382,121.566624,25.044857999999998,2,5
1406,121.511104,25.063085,3,8
1448,121.50893899999998,25.088162,2,5
1451,121.50159,25.044787,2,5
1456,121.576109,25.08444,2,5
1512,121.56745500000001,25.042448,2,5
1514,121.58113600000001,25.082203,2,5
1580,121.5066,25.036017,2,5
1594,121.56605800000001,25.06332,3,8
1637,121.485299,25.138289,4,10
1653,121.585182,25.047979,2,5
1677,121.545969,25.038098,1,2
1678,121.550297,25.003498999999998,2,5
1687,121.568431,25.041082,2,5
1716,121.577471,25.080131,2,5
1737,121.56697,25.085573,2,5
1748,121.522925,25.061961,2,5
