,lon,lat,value,radius,color
31,121.614618,25.066187,3,3,#DDD23B
55,121.48606399999998,25.122059,2,1,#DDD23B
67,121.53593000000001,25.057989000000003,2,1,#DDD23B
77,121.53938400000001,25.171668,2,1,#DDD23B
81,121.537269,25.062684,2,1,#DDD23B
86,121.531973,25.026367999999998,3,3,#DDD23B
99,121.513503,25.063131,2,1,#DDD23B
130,121.50755,25.048491000000002,2,1,#DDD23B
132,121.567355,24.981191,2,1,#DDD23B
138,121.527823,25.060278,2,1,#DDD23B
202,121.539308,25.004143,3,3,#DDD23B
218,121.491923,25.026699,2,1,#DDD23B
243,121.542818,24.996931,2,1,#DDD23B
248,121.547526,25.019697,2,1,#DDD23B
251,121.52556100000001,25.060305,2,1,#DDD23B
255,121.599021,25.053825,2,1,#DDD23B
263,121.581002,25.067624,2,1,#DDD23B
264,121.522278,25.023723,3,3,#DDD23B
271,121.611597,25.066089,2,1,#DDD23B
282,121.527744,25.047036,2,1,#DDD23B
317,121.49094199999999,25.02433,2,1,#DDD23B
320,121.574243,25.032054000000002,2,1,#DDD23B
368,121.607685,25.058338,3,3,#DDD23B
401,121.517478,25.112282,3,3,#DDD23B
402,121.51863700000001,25.0288,2,1,#DDD23B
475,121.51110600000001,25.064622,3,3,#DDD23B
478,121.49833899999999,25.142256,2,1,#DDD23B
517,121.497751,25.094676,3,3,#DDD23B
527,121.50623600000002,25.03507,2,1,#DDD23B
528,121.50516200000001,25.138371,2,1,#DDD23B
535,121.557171,24.998759,3,3,#DDD23B
546,121.49538899999999,25.012614000000003,2,1,#DDD23B
551,121.523602,25.062178,2,1,#DDD23B
561,121.516326,25.032367999999998,2,1,#DDD23B
588,121.51743799999998,25.023426,2,1,#DDD23B
659,121.560526,25.017616,2,1,#DDD23B
700,121.531062,25.013953,2,1,#DDD23B
708,121.574151,25.043810999999998,2,1,#DDD23B
717,121.54898700000001,25.016779999999997,2,1,#DDD23B
719,121.527883,25.062742,2,1,#DDD23B
749,121.566781,25.002064,2,1,#DDD23B
755,121.480631,25.136305,2,1,#DDD23B
771,121.510827,25.114898,3,3,#DDD23B
784,121.58408899999999,25.038428,2,1,#DDD23B
785,121.52283999999999,25.049554999999998,2,1,#DDD23B
792,121.49423999999999,25.035322,2,1,#DDD23B
801,121.581397,25.04271,2,1,#DDD23B
808,121.54858200000001,25.038714000000002,2,1,#DDD23B
816,121.51862,25.048513,4,5,#DDD23B
