,lon,lat,value,radius,color,group,type
0,121.614618,25.066187,3,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;乘客-人
1,121.48606399999998,25.122059,2,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
2,121.53593000000001,25.057989000000003,2,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
3,121.53938400000001,25.171668,2,1,#DDD23B,其他路段,普通重型-機車;乘客-人
4,121.537269,25.062684,2,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
5,121.531973,25.026367999999998,3,3,#DDD23B,和平東路,計程車-小客車;普通重型-機車;普通重型-機車
6,121.513503,25.063131,2,1,#DDD23B,民權西路,救護車-特種車;普通重型-機車
7,121.50755,25.048491000000002,2,1,#DDD23B,其他路段,行人-人;普通重型-機車
8,121.567355,24.981191,2,1,#DDD23B,其他路段,普通重型-機車;腳踏自行車-慢車
9,121.527823,25.060278,2,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
10,121.539308,25.004143,3,3,#DDD23B,興隆路,自用-小客車;普通重型-機車;乘客-人
11,121.491923,25.026699,2,1,#DDD23B,西園路2段,普通重型-機車;自用-大貨車
12,121.542818,24.996931,2,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
13,121.547526,25.019697,2,1,#DDD23B,基隆路,民營公車-大客車;大型重型2(250-550C.C.)-機車
14,121.52556100000001,25.060305,2,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
15,121.599021,25.053825,2,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
16,121.581002,25.067624,2,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
17,121.522278,25.023723,3,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
18,121.611597,25.066089,2,1,#DDD23B,其他路段,電動自行車-慢車;普通重型-機車
19,121.527744,25.047036,2,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
20,121.49094199999999,25.02433,2,1,#DDD23B,西園路2段,自用-小客車;普通重型-機車
21,121.574243,25.032054000000002,2,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
22,121.607685,25.058338,3,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;乘客-人
