Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
ATL,John Collins,Trae Young,163,19.3,20,0.4,0.65,5.05,0.336,JohnCollins
ATL,Dewayne Dedmon,Kevin Huerter,24,10.25,20,0.7,1,2.15,0.3835,DewayneDedmon
ATL,Vince Carter,Jaylen Adams,13,5.3,22,0.25,0.5,1.5,0.3635,VinceCarter
ATL,Deyonta Davis,Trae Young,6,11.55,20,0.4,0.6,4.35,0.162,DeyontaDavis
ATL,John Collins,Justin Anderson,5,11.6,25,0.45,0.45,1.25,0.33,JohnCollins
ATL,DeAndre' Bembry,Trae Young,23,13.75,20,0.35,1.1,5.3,0.3065,DeAndre'Bembry
ATL,Justin Anderson,Trae Young,10,11.4,20,0.25,0.7,4.3,0.318,JustinAnderson
ATL,Justin Anderson,Kevin Huerter,7,6.7,20,0.3,0.7,1.7,0.3485,JustinAnderson
ATL,Dewayne Dedmon,John Collins,19,15.15,21,0.85,0.75,1.7,0.365,DewayneDedmon
ATL,DeAndre' Bembry,Kevin Huerter,19,9.05,20,0.4,1.1,2.7,0.337,DeAndre'Bembry
ATL,Kevin Huerter,DeAndre' Bembry,9,9.05,24,0.4,1.1,2.7,0.337,KevinHuerter
ATL,Jaylen Adams,DeAndre' Bembry,6,5.8,24,0.3,0.85,2.2,0.3135,JaylenAdams
ATL,Alex Len,John Collins,12,15.3,21,0.75,0.4,1.55,0.3555,AlexLen
ATL,Alex Len,Kevin Huerter,21,10.4,20,0.6,0.65,2,0.374,AlexLen
ATL,Kevin Huerter,Jaylen Adams,2,6.45,22,0.2,0.65,2.4,0.3615,KevinHuerter
ATL,Alex Len,Trae Young,78,15.1,20,0.55,0.65,4.6,0.3435,AlexLen
ATL,Kent Bazemore,Trae Young,38,15.35,20,0.4,1.1,5.2,0.322,KentBazemore
ATL,Kent Bazemore,Justin Anderson,3,7.65,25,0.45,0.9,1.4,0.316,KentBazemore
ATL,Vince Carter,DeAndre' Bembry,27,7.9,24,0.45,0.95,1.8,0.339,VinceCarter
ATL,Trae Young,John Collins,18,19.3,21,0.4,0.65,5.05,0.336,TraeYoung
ATL,John Collins,Kent Bazemore,28,15.55,29,0.6,0.85,2.15,0.334,JohnCollins
ATL,DeAndre' Bembry,Kent Bazemore,17,10,29,0.55,1.3,2.4,0.3045,DeAndre'Bembry
ATL,Kevin Huerter,John Collins,19,14.6,21,0.45,0.65,2.45,0.3665,KevinHuerter
ATL,Jaylen Adams,Vince Carter,2,5.3,42,0.25,0.5,1.5,0.3635,JaylenAdams
ATL,Alex Len,DeAndre' Bembry,20,9.75,24,0.7,0.85,1.8,0.326,AlexLen
ATL,Dewayne Dedmon,Trae Young,97,14.95,20,0.65,1,4.75,0.353,DewayneDedmon
ATL,John Collins,Dewayne Dedmon,22,15.15,29,0.85,0.75,1.7,0.365,JohnCollins
