Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
JohnCollins,Trae Young,163,19.3,20,0.4,0.65,5.05,0.336,ATL
DewayneDedmon,Kevin Huerter,24,10.25,20,0.7,1,2.15,0.3835,ATL
VinceCarter,Jaylen Adams,13,5.3,22,0.25,0.5,1.5,0.3635,ATL
DeyontaDavis,Trae Young,6,11.55,20,0.4,0.6,4.35,0.162,ATL
JohnCollins,Justin Anderson,5,11.6,25,0.45,0.45,1.25,0.33,ATL
DeAndre'Bembry,Trae Young,23,13.75,20,0.35,1.1,5.3,0.3065,ATL
JustinAnderson,Trae Young,10,11.4,20,0.25,0.7,4.3,0.318,ATL
JustinAnderson,Kevin Huerter,7,6.7,20,0.3,0.7,1.7,0.3485,ATL
DewayneDedmon,John Collins,19,15.15,21,0.85,0.75,1.7,0.365,ATL
DeAndre'Bembry,Kevin Huerter,19,9.05,20,0.4,1.1,2.7,0.337,ATL
KevinHuerter,DeAndre' Bembry,9,9.05,24,0.4,1.1,2.7,0.337,ATL
JaylenAdams,DeAndre' Bembry,6,5.8,24,0.3,0.85,2.2,0.3135,ATL
AlexLen,John Collins,12,15.3,21,0.75,0.4,1.55,0.3555,ATL
AlexLen,Kevin Huerter,21,10.4,20,0.6,0.65,2,0.374,ATL
KevinHuerter,Jaylen Adams,2,6.45,22,0.2,0.65,2.4,0.3615,ATL
AlexLen,Trae Young,78,15.1,20,0.55,0.65,4.6,0.3435,ATL
KentBazemore,Trae Young,38,15.35,20,0.4,1.1,5.2,0.322,ATL
KentBazemore,Justin Anderson,3,7.65,25,0.45,0.9,1.4,0.316,ATL
VinceCarter,DeAndre' Bembry,27,7.9,24,0.45,0.95,1.8,0.339,ATL
TraeYoung,John Collins,18,19.3,21,0.4,0.65,5.05,0.336,ATL
JohnCollins,Kent Bazemore,28,15.55,29,0.6,0.85,2.15,0.334,ATL
DeAndre'Bembry,Kent Bazemore,17,10,29,0.55,1.3,2.4,0.3045,ATL
KevinHuerter,John Collins,19,14.6,21,0.45,0.65,2.45,0.3665,ATL
JaylenAdams,Vince Carter,2,5.3,42,0.25,0.5,1.5,0.3635,ATL
AlexLen,DeAndre' Bembry,20,9.75,24,0.7,0.85,1.8,0.326,ATL
DewayneDedmon,Trae Young,97,14.95,20,0.65,1,4.75,0.353,ATL
JohnCollins,Dewayne Dedmon,22,15.15,29,0.85,0.75,1.7,0.365,ATL
KevinHuerter,Trae Young,68,14.4,20,0.25,0.9,5.5,0.3545,ATL
TraeYoung,DeAndre' Bembry,14,13.75,24,0.35,1.1,5.3,0.3065,ATL
TraeYoung,Deyonta Davis,1,11.55,22,0.4,0.6,4.35,0.162,ATL
VinceCarter,Kevin Huerter,13,8.55,20,0.35,0.75,2,0.387,ATL
TraeYoung,Kevin Huerter,28,14.4,20,0.25,0.9,5.5,0.3545,ATL
JohnCollins,Kevin Huerter,40,14.6,20,0.45,0.65,2.45,0.3665,ATL
JustinAnderson,DeAndre' Bembry,4,6.05,24,0.4,0.9,1.5,0.3005,ATL
KentBazemore,DeAndre' Bembry,16,10,24,0.55,1.3,2.4,0.3045,ATL
DeAndre'Bembry,Alex Len,10,9.75,25,0.7,0.85,1.8,0.326,ATL
JohnCollins,Alex Len,6,15.3,25,0.75,0.4,1.55,0.3555,ATL
KevinHuerter,Kent Bazemore,12,10.65,29,0.45,1.1,2.6,0.3525,ATL
DeyontaDavis,Jaylen Adams,3,3.6,22,0.35,0.35,1.25,0.169,ATL
VinceCarter,Deyonta Davis,1,5.7,22,0.5,0.45,0.85,0.1945,ATL
JustinAnderson,Kent Bazemore,2,7.65,29,0.45,0.9,1.4,0.316,ATL
DeAndre'Bembry,Jaylen Adams,9,5.8,22,0.3,0.85,2.2,0.3135,ATL
KevinHuerter,Deyonta Davis,1,6.85,22,0.45,0.6,1.75,0.1925,ATL
AlexLen,Jaylen Adams,17,7.15,22,0.5,0.4,1.5,0.3505,ATL
TraeYoung,Vince Carter,9,13.25,42,0.3,0.75,4.6,0.3565,ATL
KentBazemore,Jaylen Adams,10,7.4,22,0.35,0.85,2.1,0.329,ATL
DeAndre'Bembry,Vince Carter,13,7.9,42,0.45,0.95,1.8,0.339,ATL
JaylenAdams,Kent Bazemore,1,7.4,29,0.35,0.85,2.1,0.329,ATL
KentBazemore,Vince Carter,12,9.5,42,0.5,0.95,1.7,0.3545,ATL
TraeYoung,Dewayne Dedmon,16,14.95,29,0.65,1,4.75,0.353,ATL
TraeYoung,Alex Len,14,15.1,25,0.55,0.65,4.6,0.3435,ATL
JohnCollins,Jaylen Adams,5,11.35,22,0.35,0.4,1.95,0.343,ATL
JohnCollins,DeAndre' Bembry,34,13.95,24,0.55,0.85,2.25,0.3185,ATL
AlexLen,Kent Bazemore,20,11.35,29,0.75,0.85,1.7,0.3415,ATL
VinceCarter,Trae Young,50,13.25,20,0.3,0.75,4.6,0.3565,ATL
JustinAnderson,Alex Len,2,7.4,25,0.6,0.45,0.8,0.3375,ATL
KevinHuerter,Justin Anderson,1,6.7,25,0.3,0.7,1.7,0.3485,ATL
JustinAnderson,Dewayne Dedmon,2,7.25,29,0.7,0.8,0.95,0.347,ATL
KevinHuerter,Dewayne Dedmon,12,10.25,29,0.7,1,2.15,0.3835,ATL
JaylenAdams,Tyler Zeller,1,1.6,29,0.05,0.2,1.2,0.169,ATL
VinceCarter,Kent Bazemore,17,9.5,29,0.5,0.95,1.7,0.3545,ATL
JaylenAdams,Alex Len,4,7.15,25,0.5,0.4,1.5,0.3505,ATL
JaylenAdams,Kevin Huerter,3,6.45,20,0.2,0.65,2.4,0.3615,ATL
AlexLen,Vince Carter,18,9.25,42,0.65,0.5,1.1,0.376,ATL
