"","state","Day1","Day7","Day30","Category"
"1","United States",-0.012,0.001,-0.001,"Action"
"2","Vietnam",0.00700000000000001,0.023,0.004,"Action"
"3","Brazil",0.013,0.029,0.008,"Action"
"4","Russia",-0.036,0.004,-0.003,"Action"
"5","United Kingdom",-0.028,-0.004,-0.004,"Action"
"6","Thailand",-0.02,0.02,0.006,"Action"
"7","Germany",-0.018,0.00899999999999999,0,"Action"
"8","Japan",-0.052,-0.038,-0.027,"Action"
"9","France",-0.025,-0.004,-0.002,"Action"
"10","Philippines",0.012,0.031,0.008,"Action"
"11","Mexico",0.004,0.019,0.005,"Action"
"12","Italy",-0.036,0.004,0,"Action"
"13","Turkey",-0.012,0.023,0.007,"Action"
"14","South Korea",0.003,0.012,0,"Action"
"15","Indonesia",-0.032,0.02,0.006,"Action"
"16","Saudi Arabia",-0.014,0.018,0.002,"Action"
"17","India",0.01,0.031,0.008,"Action"
"18","Spain",-0.015,0.015,0.004,"Action"
"19","Chile",-0.014,0.019,0.003,"Action"
"20","Ukraine",-0.001,0.026,0.004,"Action"
"21","United States",-0.046,-0.00799999999999999,-0.004,"Arcade"
"22","Germany",-0.046,0.005,0,"Arcade"
"23","United Kingdom",-0.059,-0.00799999999999999,-0.004,"Arcade"
"24","Brazil",-0.037,0.014,0.003,"Arcade"
"25","Russia",-0.034,0.023,0.005,"Arcade"
"26","India",-0.079,-0.00199999999999999,-0.002,"Arcade"
"27","Mexico",-0.04,0.00700000000000001,0.001,"Arcade"
"28","France",-0.066,-0.015,-0.004,"Arcade"
"29","Indonesia",-0.079,0.002,-0.002,"Arcade"
"30","Vietnam",-0.03,0.018,0.004,"Arcade"
"31","Turkey",-0.049,0.017,0.004,"Arcade"
"32","Italy",-0.071,0.003,0.001,"Arcade"
"33","Spain",-0.071,-0.00199999999999999,-0.000999999999999997,"Arcade"
"34","Thailand",-0.053,0.01,0.002,"Arcade"
"35","South Korea",-0.025,-0.001,-0.003,"Arcade"
"36","Argentina",-0.06,0.00600000000000001,0,"Arcade"
"37","Malaysia",-0.086,-0.01,-0.004,"Arcade"
"38","Egypt",-0.049,0.005,-0.002,"Arcade"
"39","Saudi Arabia",-0.047,0.005,-0.000999999999999997,"Arcade"
"40","Ukraine",-0.051,0.021,0.005,"Arcade"
"41","Chile",-0.054,0.00900000000000001,-0.000999999999999997,"Arcade"
"42","Poland",-0.06,0.011,0.004,"Arcade"
"43","Pakistan",-0.049,-0.001,-0.003,"Arcade"
"44","Philippines",-0.017,0.015,0,"Arcade"
"45","Australia",-0.052,-0.00199999999999999,-0.000999999999999997,"Arcade"
"46","Iraq",-0.048,0.025,0.006,"Arcade"
"47","Colombia",-0.025,0.011,0.002,"Arcade"
"48","Japan",-0.014,0.001,-0.003,"Arcade"
"49","United States",-0.019,-0.00399999999999999,-0.003,"Casual"
"50","United Kingdom",-0.045,-0.019,-0.012,"Casual"
"51","Brazil",0,0.016,0.006,"Casual"
"52","Germany",-0.049,-0.018,-0.013,"Casual"
"53","France",-0.048,-0.026,-0.014,"Casual"
