road,avgSpd
中山橋,0
中正路,41.3129659610778
中華路,33.632686994012
健康路,40.6677697185629
光復南路,49.5976656047905
內湖路,0
八德路,33.1881021540918
公園路,0
南京東路,55.9519342215569
南京西路,34.879459241517
和平東路,41.5134740128314
基隆路,50.6822003532934
塔悠路,43.9729646806387
寶慶路,0
建國北路,34.2197768284432
忠孝東路,43.1951215056553
愛國東路,46.4303666467066
承德橋,0
承德路,50.7693036159681
杭州南路,42.753303497006
民族東路,44.9679892544911
民權東路,45.576593550524
民權西路,27.8728933892216
立賢路,0
羅斯福路,36.2411369651607
至善路,49.0957148400343
興隆路,35.5368034550898
西園路,45.1423277125749
逸仙路,0
