road,time,count
興隆路,102/01,22
南京東路,102/01,24
基隆路,102/01,35
八德路,102/01,25
和平東路,102/01,17
羅斯福路,102/01,30
內湖路,102/01,26
建國北路,102/01,9
民權東路,102/01,51
中華路,102/01,18
承德路,102/01,55
忠孝東路,102/01,53
中正路,102/01,8
民族東路,102/01,13
至善路,102/01,5
杭州南路,102/01,1
塔悠路,102/01,3
民權西路,102/01,17
西園路,102/01,10
光復南路,102/01,11
健康路,102/01,2
南京西路,102/01,8
承德橋,102/01,2
逸仙路,102/01,4
公園路,102/01,3
羅斯福路,102/02,26
寶慶路,102/02,2
民族東路,102/02,11
民權東路,102/02,37
承德路,102/02,57
民權西路,102/02,18
南京東路,102/02,15
和平東路,102/02,21
忠孝東路,102/02,38
內湖路,102/02,32
基隆路,102/02,15
光復南路,102/02,7
八德路,102/02,28
興隆路,102/02,12
西園路,102/02,9
至善路,102/02,5
中華路,102/02,14
建國北路,102/02,6
愛國東路,102/02,1
杭州南路,102/02,7
南京西路,102/02,5
中正路,102/02,17
健康路,102/02,3
塔悠路,102/02,3
逸仙路,102/02,1
公園路,102/02,1
基隆路,102/03,39
建國北路,102/03,16
羅斯福路,102/03,40
八德路,102/03,25
承德路,102/03,59
光復南路,102/03,5
民權東路,102/03,54
南京西路,102/03,6
忠孝東路,102/03,58
興隆路,102/03,37
中華路,102/03,20
中正路,102/03,7
西園路,102/03,10
民權西路,102/03,19
和平東路,102/03,14
南京東路,102/03,27
內湖路,102/03,17
愛國東路,102/03,3
杭州南路,102/03,6
民族東路,102/03,7
健康路,102/03,8
塔悠路,102/03,6
公園路,102/03,4
寶慶路,102/03,2
至善路,102/03,4
逸仙路,102/03,1
承德路,102/04,58
民權西路,102/04,16
興隆路,102/04,29
民權東路,102/04,38
八德路,102/04,21
內湖路,102/04,22
健康路,102/04,6
忠孝東路,102/04,49
南京東路,102/04,24
基隆路,102/04,37
中山橋,102/04,2
光復南路,102/04,13
建國北路,102/04,10
愛國東路,102/04,1
塔悠路,102/04,6
羅斯福路,102/04,33
西園路,102/04,6
民族東路,102/04,5
中正路,102/04,11
中華路,102/04,14
公園路,102/04,5
和平東路,102/04,23
至善路,102/04,6
逸仙路,102/04,1
杭州南路,102/04,5
南京西路,102/04,5
寶慶路,102/04,2
承德橋,102/04,1
和平東路,102/05,20
中華路,102/05,13
公園路,102/05,5
光復南路,102/05,9
承德路,102/05,51
南京東路,102/05,26
八德路,102/05,29
興隆路,102/05,29
西園路,102/05,6
民族東路,102/05,8
民權東路,102/05,35
杭州南路,102/05,2
基隆路,102/05,36
羅斯福路,102/05,29
忠孝東路,102/05,50
建國北路,102/05,11
民權西路,102/05,16
寶慶路,102/05,6
中正路,102/05,13
內湖路,102/05,21
至善路,102/05,5
逸仙路,102/05,1
愛國東路,102/05,4
健康路,102/05,3
南京西路,102/05,5
塔悠路,102/05,1
羅斯福路,102/06,28
八德路,102/06,29
內湖路,102/06,27
基隆路,102/06,28
民族東路,102/06,8
忠孝東路,102/06,60
民權東路,102/06,39
和平東路,102/06,15
民權西路,102/06,16
建國北路,102/06,11
承德路,102/06,47
健康路,102/06,3
西園路,102/06,10
南京東路,102/06,14
愛國東路,102/06,1
興隆路,102/06,22
光復南路,102/06,8
南京西路,102/06,5
至善路,102/06,8
公園路,102/06,5
中正路,102/06,11
中華路,102/06,11
杭州南路,102/06,3
逸仙路,102/06,4
羅斯福路,102/07,33
民權東路,102/07,53
忠孝東路,102/07,61
八德路,102/07,33
承德路,102/07,75
中正路,102/07,19
民權西路,102/07,21
內湖路,102/07,25
公園路,102/07,4
建國北路,102/07,12
基隆路,102/07,41
南京東路,102/07,27
和平東路,102/07,21
興隆路,102/07,30
光復南路,102/07,13
中華路,102/07,13
寶慶路,102/07,1
愛國東路,102/07,4
民族東路,102/07,10
南京西路,102/07,9
西園路,102/07,4
杭州南路,102/07,4
至善路,102/07,6
健康路,102/07,3
逸仙路,102/07,4
塔悠路,102/07,1
民權東路,102/08,54
寶慶路,102/08,3
承德路,102/08,49
建國北路,102/08,10
忠孝東路,102/08,55
民權西路,102/08,15
逸仙路,102/08,1
公園路,102/08,6
中華路,102/08,17
內湖路,102/08,16
八德路,102/08,33
民族東路,102/08,11
基隆路,102/08,34
興隆路,102/08,19
南京西路,102/08,5
和平東路,102/08,13
南京東路,102/08,30
中正路,102/08,11
至善路,102/08,5
羅斯福路,102/08,39
西園路,102/08,7
健康路,102/08,6
光復南路,102/08,10
愛國東路,102/08,3
杭州南路,102/08,8
承德橋,102/08,1
中山橋,102/08,1
承德路,102/09,44
忠孝東路,102/09,64
民族東路,102/09,9
西園路,102/09,6
八德路,102/09,25
光復南路,102/09,5
民權東路,102/09,48
中正路,102/09,12
至善路,102/09,5
羅斯福路,102/09,33
內湖路,102/09,22
和平東路,102/09,17
南京東路,102/09,16
民權西路,102/09,22
基隆路,102/09,28
立賢路,102/09,1
興隆路,102/09,27
愛國東路,102/09,1
建國北路,102/09,7
公園路,102/09,3
寶慶路,102/09,2
中華路,102/09,10
杭州南路,102/09,4
南京西路,102/09,3
承德橋,102/09,1
塔悠路,102/09,2
民權東路,102/10,41
承德路,102/10,67
中正路,102/10,13
羅斯福路,102/10,33
和平東路,102/10,28
民權西路,102/10,22
忠孝東路,102/10,59
光復南路,102/10,10
中華路,102/10,20
興隆路,102/10,27
八德路,102/10,21
建國北路,102/10,11
基隆路,102/10,38
南京東路,102/10,31
塔悠路,102/10,4
內湖路,102/10,20
至善路,102/10,4
立賢路,102/10,1
民族東路,102/10,8
愛國東路,102/10,4
西園路,102/10,12
逸仙路,102/10,4
南京西路,102/10,8
杭州南路,102/10,8
承德橋,102/10,1
公園路,102/10,7
健康路,102/10,3
中山橋,102/10,1
忠孝東路,102/11,65
民權東路,102/11,54
承德路,102/11,50
杭州南路,102/11,3
光復南路,102/11,9
羅斯福路,102/11,41
興隆路,102/11,19
南京西路,102/11,6
公園路,102/11,7
至善路,102/11,4
逸仙路,102/11,2
民權西路,102/11,7
南京東路,102/11,34
民族東路,102/11,5
內湖路,102/11,18
中正路,102/11,18
八德路,102/11,28
西園路,102/11,7
中華路,102/11,27
和平東路,102/11,18
基隆路,102/11,27
塔悠路,102/11,5
愛國東路,102/11,3
健康路,102/11,5
建國北路,102/11,5
寶慶路,102/11,4
立賢路,102/11,1
承德路,102/12,55
和平東路,102/12,17
光復南路,102/12,17
民權西路,102/12,23
至善路,102/12,7
八德路,102/12,28
民權東路,102/12,34
羅斯福路,102/12,35
中華路,102/12,18
內湖路,102/12,16
忠孝東路,102/12,64
建國北路,102/12,10
興隆路,102/12,19
基隆路,102/12,36
南京東路,102/12,23
西園路,102/12,7
中正路,102/12,15
逸仙路,102/12,5
南京西路,102/12,4
塔悠路,102/12,7
民族東路,102/12,11
杭州南路,102/12,4
公園路,102/12,3
愛國東路,102/12,2
寶慶路,102/12,1
健康路,102/12,1
八德路,103/01,12
民權東路,103/01,20
基隆路,103/01,27
光復南路,103/01,9
逸仙路,103/01,4
中正路,103/01,6
民權西路,103/01,5
中華路,103/01,11
忠孝東路,103/01,7
和平東路,103/01,13
南京東路,103/01,11
興隆路,103/01,9
承德路,103/01,30
羅斯福路,103/01,12
至善路,103/01,3
公園路,103/01,4
南京西路,103/01,3
西園路,103/01,3
民族東路,103/01,9
愛國東路,103/01,2
內湖路,103/01,1
建國北路,103/01,5
寶慶路,103/01,2
塔悠路,103/01,2
立賢路,103/01,1
杭州南路,103/01,1
健康路,103/01,2
光復南路,103/02,2
八德路,103/02,4
西園路,103/02,2
中正路,103/02,9
杭州南路,103/02,3
南京東路,103/02,8
承德路,103/02,26
羅斯福路,103/02,9
健康路,103/02,2
基隆路,103/02,15
南京西路,103/02,3
民族東路,103/02,5
建國北路,103/02,1
中華路,103/02,10
忠孝東路,103/02,8
民權東路,103/02,5
公園路,103/02,1
內湖路,103/02,2
和平東路,103/02,8
立賢路,103/02,1
民權西路,103/02,4
興隆路,103/02,4
寶慶路,103/02,1
塔悠路,103/02,2
民權東路,103/03,17
建國北路,103/03,7
中華路,103/03,11
忠孝東路,103/03,8
和平東路,103/03,6
承德路,103/03,21
健康路,103/03,1
杭州南路,103/03,3
塔悠路,103/03,2
基隆路,103/03,21
南京東路,103/03,7
民權西路,103/03,7
興隆路,103/03,6
公園路,103/03,4
西園路,103/03,2
羅斯福路,103/03,4
中正路,103/03,6
八德路,103/03,10
內湖路,103/03,1
立賢路,103/03,1
寶慶路,103/03,5
光復南路,103/03,5
至善路,103/03,1
民族東路,103/03,1
興隆路,103/04,6
杭州南路,103/04,1
至善路,103/04,3
中華路,103/04,18
八德路,103/04,11
建國北路,103/04,8
民權東路,103/04,19
羅斯福路,103/04,10
和平東路,103/04,7
忠孝東路,103/04,11
南京東路,103/04,18
民族東路,103/04,4
承德路,103/04,25
民權西路,103/04,13
寶慶路,103/04,5
中正路,103/04,8
基隆路,103/04,17
光復南路,103/04,3
愛國東路,103/04,2
健康路,103/04,2
南京西路,103/04,2
