,road,happen108,happen102
0,羅斯福路1、2段,2.3857142857142857,2.3142857142857145
1,杭州南路2段,2.3684210526315788,2.2
2,塔悠路,2.36734693877551,2.088888888888889
3,至善路2段,2.3214285714285716,2.2333333333333334
4,愛國東路,2.2903225806451615,2.27027027027027
5,民族東路,2.282608695652174,2.25
6,南京東西路,2.277511961722488,2.1353383458646618
7,新生南路3段,2.268292682926829,2.8333333333333335
8,福林路,2.25531914893617,2.267857142857143
9,中華路1段,2.2203389830508473,2.225
10,公園路,2.207547169811321,2.056603773584906
11,八德路3、4段,2.202127659574468,2.2211981566820276
12,光復南北路,2.195876288659794,2.2740384615384617
13,松江路,2.185185185185185,2.2578125
14,寶慶路,2.176470588235294,2.260869565217391
15,和平東路1、2、3段,2.1736334405144695,2.2013422818791946
16,中坡北路,2.161290322580645,2.3333333333333335
17,基隆路1、3段,2.13953488372093,2.2058823529411766
18,建國北路3段,2.1346153846153846,1.9090909090909092
19,內湖路1段,2.1235955056179776,2.2738853503184715
20,健康路,2.121212121212121,2.1944444444444446
21,福國路,2.1147540983606556,2.3225806451612905
22,忠孝東路6段,2.090909090909091,2.1785714285714284
23,立賢路,1.894736842105263,2.25
