road,avgVol
民權西路,93.2372754491018
基隆路,62.308763421728
忠孝東路,58.1104873586161
承德路,55.5233033932136
民權東路,52.8740643712575
建國北路,43.1568862275449
和平東路,42.1467065868263
南京東路,40.6616766467066
民族東路,40.0823353293413
中華路,39.5928143712575
光復南路,39.5633233532934
羅斯福路,34.4708083832335
中正路,34.1744011976048
西園路,30.2889221556886
塔悠路,28.9815369261477
杭州南路,24.8962075848303
健康路,23.6197604790419
南京西路,22.0668662674651
八德路,20.1716566866268
愛國東路,19.2035928143713
至善路,16.6026518391788
興隆路,10.7799401197605
中山橋,0
內湖路,0
公園路,0
寶慶路,0
承德橋,0
立賢路,0
逸仙路,0
