road,count,hour
中正路,152,12
中正路,152,11
中正路,152,10
中正路,152,9
中正路,152,8
中正路,152,7
中正路,152,6
中正路,152,5
中正路,152,4
中正路,152,3
中正路,152,2
中正路,152,1
中正路,152,0
中正路,152,23
中正路,152,22
中正路,152,21
中正路,152,20
中正路,152,19
中正路,152,18
中正路,152,17
中正路,152,16
中正路,152,15
中正路,152,14
中正路,152,13
中華路,228,12
中華路,228,11
中華路,228,10
中華路,228,9
中華路,228,8
中華路,228,7
中華路,228,6
中華路,228,5
中華路,228,4
中華路,228,3
中華路,228,2
中華路,228,1
中華路,228,0
中華路,228,23
中華路,228,22
中華路,228,21
中華路,228,20
中華路,228,19
中華路,228,18
中華路,228,17
中華路,228,16
中華路,228,15
中華路,228,14
中華路,228,13
健康路,38,12
健康路,38,11
健康路,38,10
健康路,38,9
健康路,38,8
健康路,38,7
健康路,38,6
健康路,38,5
健康路,38,4
健康路,38,3
健康路,38,2
健康路,38,1
健康路,38,0
健康路,38,23
健康路,38,22
健康路,38,21
健康路,38,20
健康路,38,19
健康路,38,18
健康路,38,17
健康路,38,16
健康路,38,15
健康路,38,14
健康路,38,13
光復南路,132,12
光復南路,132,11
光復南路,132,10
光復南路,132,9
光復南路,132,8
光復南路,132,7
光復南路,132,6
光復南路,132,5
光復南路,132,4
光復南路,132,3
光復南路,132,2
光復南路,132,1
光復南路,132,0
光復南路,132,23
光復南路,132,22
光復南路,132,21
光復南路,132,20
光復南路,132,19
光復南路,132,18
光復南路,132,17
光復南路,132,16
光復南路,132,15
光復南路,132,14
光復南路,132,13
八德路,282,12
八德路,282,11
八德路,282,10
八德路,282,9
八德路,282,8
八德路,282,7
八德路,282,6
八德路,282,5
八德路,282,4
八德路,282,3
八德路,282,2
八德路,282,1
八德路,282,0
八德路,282,23
八德路,282,22
八德路,282,21
八德路,282,20
八德路,282,19
八德路,282,18
八德路,282,17
八德路,282,16
八德路,282,15
八德路,282,14
八德路,282,13
南京東路,303,12
南京東路,303,11
南京東路,303,10
南京東路,303,9
南京東路,303,8
南京東路,303,7
南京東路,303,6
南京東路,303,5
南京東路,303,4
南京東路,303,3
南京東路,303,2
南京東路,303,1
南京東路,303,0
南京東路,303,23
南京東路,303,22
南京東路,303,21
南京東路,303,20
南京東路,303,19
南京東路,303,18
南京東路,303,17
南京東路,303,16
南京東路,303,15
南京東路,303,14
南京東路,303,13
南京西路,80,12
南京西路,80,11
