road,hour,avgVol
中正路,12,47.2857142857143
中正路,11,46.2678571428572
中正路,10,50.3571428571429
中正路,9,44.8928571428572
中正路,8,46.4375
中正路,7,35.9107142857143
中正路,6,18.4285714285714
中正路,5,8.83928571428571
中正路,4,6
中正路,3,6.66071428571429
中正路,2,7.07142857142857
中正路,1,10.3928571428571
中正路,0,13.6607142857143
中正路,23,20.4285714285714
中正路,22,30.8214285714286
中正路,21,39.2321428571429
中正路,20,40.4285714285714
中正路,19,46.4821428571429
中正路,18,49.2321428571429
中正路,17,53.5714285714286
中正路,16,53.2321428571429
中正路,15,49.3392857142857
中正路,14,51.2321428571429
中正路,13,45.7321428571429
中華路,12,55
中華路,11,54.8095238095238
中華路,10,50.2619047619048
中華路,9,41.9047619047619
中華路,8,66.5277777777778
中華路,7,54.6666666666667
中華路,6,21.6190476190476
中華路,5,11.5714285714286
中華路,4,11.5952380952381
中華路,3,12.3809523809524
中華路,2,13.2857142857143
中華路,1,18.1904761904762
中華路,0,24.4047619047619
中華路,23,30.1190476190476
中華路,22,40.2619047619048
中華路,21,46.1666666666667
中華路,20,46.9047619047619
中華路,19,54.2857142857143
中華路,18,49.1190476190476
中華路,17,50.4047619047619
中華路,16,48.9285714285714
中華路,15,49.0238095238095
中華路,14,51.0714285714286
中華路,13,51.5714285714286
健康路,12,34.3392857142857
健康路,11,35.8035714285714
健康路,10,33.75
健康路,9,33.8035714285714
健康路,8,40.9791666666667
健康路,7,23.1785714285714
健康路,6,9.14285714285714
健康路,5,3.76785714285714
健康路,4,1.75
健康路,3,2.14285714285714
健康路,2,2.78571428571429
健康路,1,3.91071428571429
健康路,0,5.69642857142857
健康路,23,11.3392857142857
健康路,22,14.9285714285714
健康路,21,25.1071428571429
健康路,20,24.9107142857143
健康路,19,36.0357142857143
健康路,18,45.4107142857143
健康路,17,42
健康路,16,36.3214285714286
健康路,15,35.75
健康路,14,34.4821428571429
健康路,13,32.0178571428571
光復南路,12,55.2
光復南路,11,52.5714285714286
光復南路,10,50.3392857142857
光復南路,9,41.8142857142857
光復南路,8,59.2
光復南路,7,36.5571428571429
光復南路,6,16.6
光復南路,5,9.3
光復南路,4,8.2
光復南路,3,11.3857142857143
光復南路,2,13.8714285714286
光復南路,1,17.7571428571429
光復南路,0,24.6571428571429
光復南路,23,33.4142857142857
光復南路,22,40.7714285714286
光復南路,21,46.2714285714286
光復南路,20,45.6142857142857
光復南路,19,48.3571428571429
光復南路,18,60.2857142857143
光復南路,17,53.1571428571429
光復南路,16,58.0857142857143
光復南路,15,57.4
光復南路,14,60.5857142857143
光復南路,13,50.9285714285714
八德路,12,27.6095238095238
八德路,11,26.2761904761905
八德路,10,25.6476190476191
八德路,9,25.152380952381
八德路,8,30.6666666666667
八德路,7,17.2333333333333
八德路,6,8.63333333333333
八德路,5,5.01904761904762
八德路,4,4.22857142857143
八德路,3,5.15714285714286
八德路,2,5.93333333333333
八德路,1,7.3
八德路,0,10.3142857142857
八德路,23,14.2714285714286
八德路,22,16.047619047619
八德路,21,22.9095238095238
八德路,20,22.7761904761905
八德路,19,30.5238095238095
八德路,18,34.8857142857143
八德路,17,29.6095238095238
八德路,16,29.8047619047619
八德路,15,28.3142857142857
八德路,14,29.4761904761905
八德路,13,27.8285714285714
南京東路,12,62.5
南京東路,11,61.2857142857143
南京東路,10,51.5
南京東路,9,43.5
南京東路,8,39.4166666666667
南京東路,7,20.2142857142857
南京東路,6,9.07142857142857
南京東路,5,6.28571428571429
南京東路,4,5
南京東路,3,5.42857142857143
南京東路,2,9.28571428571429
南京東路,1,14.1428571428571
南京東路,0,16.7142857142857
南京東路,23,27.5
南京東路,22,33
南京東路,21,48.2142857142857
南京東路,20,57.4285714285714
南京東路,19,67.4285714285714
南京東路,18,81.2142857142857
南京東路,17,73.0714285714286
南京東路,16,64.6428571428571
南京東路,15,60.8571428571429
南京東路,14,61.6428571428572
南京東路,13,56.3571428571429
南京西路,12,29.0952380952381
南京西路,11,28.1904761904762
南京西路,10,26.2619047619048
南京西路,9,24.3571428571429
南京西路,8,27.4166666666667
南京西路,7,15.3095238095238
南京西路,6,8.23809523809524
南京西路,5,4.07142857142857
南京西路,4,2.71428571428571
南京西路,3,3.19047619047619
南京西路,2,5.57142857142857
南京西路,1,6.33333333333333
南京西路,0,13.7619047619048
南京西路,23,15.8571428571429
南京西路,22,21.4047619047619
南京西路,21,24.8809523809524
南京西路,20,26.3809523809524
南京西路,19,38.2142857142857
南京西路,18,45.5952380952381
南京西路,17,38.2142857142857
南京西路,16,33.3095238095238
南京西路,15,32.0952380952381
南京西路,14,31.5238095238095
南京西路,13,28.3809523809524
和平東路,12,60.8469387755102
和平東路,11,62.2857142857143
和平東路,10,59.030612244898
和平東路,9,62.7857142857143
和平東路,8,71.702380952381
和平東路,7,42.3979591836735
和平東路,6,18.8061224489796
和平東路,5,8.81632653061224
和平東路,4,5.66326530612245
和平東路,3,6.10204081632653
和平東路,2,7.61224489795918
和平東路,1,11.1734693877551
和平東路,0,16.2857142857143
和平東路,23,24.5714285714286
和平東路,22,39.6122448979592
和平東路,21,48.2448979591837
和平東路,20,48.5
和平東路,19,52.1122448979592
和平東路,18,66.1632653061225
和平東路,17,65.3469387755102
和平東路,16,61.5816326530612
和平東路,15,62.2142857142857
和平東路,14,59.8367346938776
和平東路,13,54.0510204081633
基隆路,12,83.8469387755102
基隆路,11,86.5102040816327
基隆路,10,80.2551020408163
基隆路,9,76.6417232653061
基隆路,8,91.1309523809524
基隆路,7,70.4285714285714
基隆路,6,30.5816326530612
基隆路,5,13.8061224489796
基隆路,4,14.0714285714286
基隆路,3,13.2448979591837
基隆路,2,15.6530612244898
基隆路,1,22.5408163265306
基隆路,0,32.1326530612245
基隆路,23,42.6530612244898
基隆路,22,64.1734693877551
基隆路,21,73.1836734693878
基隆路,20,77.4489795918367
基隆路,19,82.1224489795918
基隆路,18,83.8877551020408
基隆路,17,87.5510204081633
基隆路,16,92.3265306122449
基隆路,15,92.3775510204082
基隆路,14,86.6632653061225
基隆路,13,86.295918367347
塔悠路,12,36.8571428571429
塔悠路,11,35.8809523809524
塔悠路,10,36.7380952380952
塔悠路,9,46.3095238095238
塔悠路,8,63.1944444444445
塔悠路,7,33.4047619047619
塔悠路,6,12.047619047619
塔悠路,5,5
塔悠路,4,2.52380952380952
塔悠路,3,1.64285714285714
塔悠路,2,2.76190476190476
塔悠路,1,4.0952380952381
塔悠路,0,5.57142857142857
塔悠路,23,11.9761904761905
塔悠路,22,23.0476190476191
塔悠路,21,27.4761904761905
塔悠路,20,28.8571428571429
塔悠路,19,46.9761904761905
塔悠路,18,64.4285714285714
塔悠路,17,54
塔悠路,16,40.6428571428572
塔悠路,15,39.7619047619048
塔悠路,14,40.5238095238095
塔悠路,13,36.7261904761905
建國北路,12,54.1142857142857
建國北路,11,55.8857142857143
建國北路,10,58.7571428571429
建國北路,9,60.2
建國北路,8,73.9916666666667
建國北路,7,44.8928571428572
建國北路,6,20.8642857142857
建國北路,5,14.8642857142857
