road,avgSpd
南京東路,55.9519342215569
承德路,50.7693036159681
基隆路,50.6822003532934
光復南路,49.5976656047905
至善路,49.0957148400343
愛國東路,46.4303666467066
民權東路,45.576593550524
西園路,45.1423277125749
民族東路,44.9679892544911
塔悠路,43.9729646806387
忠孝東路,43.1951215056553
杭州南路,42.753303497006
和平東路,41.5134740128314
中正路,41.3129659610778
健康路,40.6677697185629
羅斯福路,36.2411369651607
興隆路,35.5368034550898
南京西路,34.879459241517
建國北路,34.2197768284432
中華路,33.632686994012
八德路,33.1881021540918
民權西路,27.8728933892216
中山橋,0
內湖路,0
公園路,0
寶慶路,0
承德橋,0
立賢路,0
逸仙路,0
